language,term,translation,parent,status,link_status,tags,pronunciation
Spanish,polo,pole,,1,,,
Spanish,alteración,"alteration, agitation",,1,,,
Spanish,bravo,fierce,,1,,,
Spanish,exista,"Subjunctive yo conjugation of existir, 
Subjunctive él/ella/usted conjugation of existir, 
Affirmative imperative usted conjugation of existir","existir, existir, existir",1,Y,,
Spanish,satélite,satellite,,1,,,
Spanish,detectar,to detect,,1,,,
Spanish,privatización,privatization,,1,,,
Spanish,iniciales,"Subjunctive tú conjugation of inicialar, 
Subjunctive vos conjugation of inicialar, 
initials","inicialar, inicialar",1,Y,,
Spanish,garzón,waiter,,1,,,
Spanish,tomaron,Preterite ellos/ellas/ustedes conjugation of tomar,tomar,1,Y,,
Spanish,juzgar,to judge,,1,,,
Spanish,ambientales,environmental,ambiental,1,Y,,
Spanish,armando,assembling,armar,1,Y,,
Spanish,fijo,"fixed, 
Present yo conjugation of fijar, 
Preterite él/ella/usted conjugation of fijar","fijo, fijar, fijar",1,Y,,
Spanish,peculiar,"peculiar, particular",,1,,,
Spanish,claros,"clearings, 
clear",,1,,,
Spanish,escultura,sculpture,,1,,,
Spanish,profundas,deep,profundo,1,Y,,
Spanish,representaciones,"representations, 
representations","representaciones, representación",1,Y,,
Spanish,masiva,massive,masivo,1,Y,,
Spanish,alrededores,outskirts,"alrededores, alrededor",1,Y,,
Spanish,vuestra,"your,yours, 
your","vuestra, vuestro",1,Y,,
Spanish,clarín,bugle,,1,,,
Spanish,cansado,"tired, 
tired","cansado, cansar",1,Y,,
Spanish,catalina,"poop, 
Catherine","catalina, Catalina",1,Y,,
Spanish,africa,Africa,,1,,,
Spanish,espectáculos,shows,espectáculo,1,Y,,
Spanish,augusto,"august, 
Augustus","augusto, Augusto",1,Y,,
Spanish,competición,competition,,1,,,
Spanish,finca,"property, 
Present él/ella/usted conjugation of fincar, 
Affirmative imperative tú conjugation of fincar","finca, fincar, fincar",1,Y,,
Spanish,fantasma,ghost,,1,,,
Spanish,archivos,archives,archivo,1,Y,,
Spanish,ofertas,"Present tú conjugation of ofertar, 
offers, 
Present vos conjugation of ofertar","ofertar, oferta, ofertar",1,Y,,
