Novel Name,Latest Chapter
Honour Rae,B6 Ch12: Snow Moon
Ellake,Chapter 224 - An Arrival Noted
Shirtaloon,Under the Weather
Ryn,Chapter 335
necariin,Chapter 917
Wizardly Dude,(137) 3.2. Actions Have Consequences 
Miles English,Book 4 - Chapter 48
Zogarth,Chapter 1118 - Limiting Possibilities
dinniman,"Book 8, chapters 6, 7, and 8"
DarkTechnomancer,My Own Best Friend 50 - Just a Clever Application
cerim,Chapter 600 - Ultimate goal
Priam,Chapter 356: The Eve of the Tournament
