Novel Name,Latest Chapter
Wizardly Dude,(137) 3.2. Actions Have Consequences 
Ryn,Chapter 335
dinniman,"Book 8, chapters 6, 7, and 8"
Zogarth,"Chapter 1119 - ""Great... just great."""
Priam,Chapter 356: The Eve of the Tournament
necariin,Chapter 917
cerim,Chapter 600 - Ultimate goal
Miles English,Book 4 - Chapter 48
Shirtaloon,Under the Weather
DarkTechnomancer,My Own Best Friend 50 - Just a Clever Application
Honour Rae,B6 Ch12: Snow Moon
Ellake,Chapter 224 - An Arrival Noted
